latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-36.49967,146.72214,337.64,0.54,0.51,2026-04-30,1556,N,nominal,2.0NRT,286.59,3.68,N
-17.99016,127.76897,299.47,0.78,0.78,2026-04-30,1552,N,nominal,2.0NRT,288.35,1.83,N
-36.49922,146.71666,318.87,0.54,0.51,2026-04-30,1556,N,nominal,2.0NRT,287.08,3.68,N
-17.99735,127.76712,312.32,0.78,0.78,2026-04-30,1552,N,nominal,2.0NRT,288.52,1.44,N
-36.50396,146.71603,320.62,0.54,0.51,2026-04-30,1556,N,nominal,2.0NRT,285.61,2.99,N
-18.00444,127.76484,305.49,0.78,0.78,2026-04-30,1552,N,nominal,2.0NRT,287.74,1.44,N
-36.50443,146.72156,306.27,0.54,0.51,2026-04-30,1556,N,nominal,2.0NRT,283.37,2.99,N
-17.98189,127.76534,304.94,0.78,0.78,2026-04-30,1552,N,nominal,2.0NRT,288.24,1.92,N
-36.50871,146.71547,331.62,0.54,0.51,2026-04-30,1556,N,nominal,2.0NRT,285.74,2.99,N
-17.99098,127.77129,300.91,0.78,0.78,2026-04-30,1552,N,nominal,2.0NRT,288.47,1.92,N
-36.50826,146.71014,303.72,0.54,0.51,2026-04-30,1556,N,nominal,2.0NRT,284.79,3.6,N
-17.99274,127.77846,303.02,0.78,0.78,2026-04-30,1552,N,nominal,2.0NRT,287.76,1.57,N
-36.51347,146.71492,331.69,0.54,0.51,2026-04-30,1556,N,nominal,2.0NRT,285.37,2.52,N
-17.99814,127.76932,307.75,0.78,0.78,2026-04-30,1552,N,nominal,2.0NRT,288.36,2.21,N
-36.513,146.70944,309.76,0.54,0.51,2026-04-30,1556,N,nominal,2.0NRT,284.79,5.19,N
-36.51826,146.71477,306.15,0.54,0.51,2026-04-30,1556,N,nominal,2.0NRT,281.67,2.52,N
-18.00348,127.75989,300.15,0.78,0.78,2026-04-30,1552,N,nominal,2.0NRT,288.06,2.21,N
-36.50453,146.72023,320.68,0.54,0.51,2026-04-30,1556,N,nominal,2.0NRT,284.41,3.52,N
-20.73529,139.47609,302.97,0.43,0.38,2026-04-30,1552,N,nominal,2.0NRT,291.28,0.8,N
-36.5041,146.71481,307.62,0.54,0.51,2026-04-30,1556,N,nominal,2.0NRT,284.97,4.68,N
-22.03681,146.35629,301.79,0.53,0.42,2026-04-30,1552,N,nominal,2.0NRT,289.8,0.94,N
-36.50885,146.71417,335.92,0.54,0.51,2026-04-30,1556,N,nominal,2.0NRT,286.6,4.68,N
-22.31308,148.47679,305.57,0.47,0.48,2026-04-30,1552,N,nominal,2.0NRT,286.25,0.51,N
-36.5136,146.71353,339.05,0.54,0.51,2026-04-30,1556,N,nominal,2.0NRT,285.84,4.26,N
-22.56729,149.71605,312.42,0.56,0.52,2026-04-30,1552,N,nominal,2.0NRT,287.26,1.37,N
-36.51837,146.71324,298.76,0.54,0.51,2026-04-30,1556,N,nominal,2.0NRT,281.76,4.26,N
-22.57211,149.71541,326.15,0.56,0.52,2026-04-30,1552,N,nominal,2.0NRT,287.5,2.72,N
-36.54342,146.78636,297.25,0.54,0.51,2026-04-30,1556,N,nominal,2.0NRT,285.54,0.99,N
-22.57089,149.70418,302.89,0.56,0.52,2026-04-30,1552,N,nominal,2.0NRT,287.86,1.6,N
-36.61712,146.97893,299.01,0.56,0.51,2026-04-30,1556,N,nominal,2.0NRT,282.57,1.08,N
-22.5715,149.70979,299.77,0.56,0.52,2026-04-30,1552,N,nominal,2.0NRT,287.59,1.6,N
-36.71331,147.68898,296.23,0.61,0.53,2026-04-30,1556,N,nominal,2.0NRT,280.76,2.05,N
-23.0487,148.59064,307.86,0.49,0.48,2026-04-30,1552,N,nominal,2.0NRT,287.52,0.99,N
-36.71175,147.69008,297.23,0.61,0.54,2026-04-30,1556,N,nominal,2.0NRT,281.52,1.82,N
-23.5532,151.07457,308.48,0.35,0.57,2026-04-30,1552,N,nominal,2.0NRT,288.27,0.67,N
-36.72219,147.69406,300.95,0.61,0.54,2026-04-30,1556,N,nominal,2.0NRT,279,2.11,N
-23.30027,148.3297,296.62,0.47,0.48,2026-04-30,1552,N,nominal,2.0NRT,286.36,0.6,N
-36.72721,147.69337,317.17,0.61,0.54,2026-04-30,1556,N,nominal,2.0NRT,277.62,2.11,N
-23.59654,151.07692,305.81,0.35,0.57,2026-04-30,1552,N,nominal,2.0NRT,288.73,0.48,N
-23.59968,151.10866,303.5,0.35,0.57,2026-04-30,1552,N,nominal,2.0NRT,288.29,0.74,N
-36.72765,147.69949,298.04,0.61,0.54,2026-04-30,1556,N,nominal,2.0NRT,277.54,2.11,N
-23.60083,151.06583,300.28,0.35,0.57,2026-04-30,1552,N,nominal,2.0NRT,288.24,0.52,N
-35.9744,139.88115,295.77,0.4,0.37,2026-04-30,1556,N,nominal,2.0NRT,279.13,0.53,N
-23.60118,151.06926,301.06,0.35,0.57,2026-04-30,1552,N,nominal,2.0NRT,288.29,1.19,N
-36.76225,146.94855,298.41,0.56,0.51,2026-04-30,1556,N,nominal,2.0NRT,282.68,1.51,N
-23.60616,151.06523,307.29,0.35,0.57,2026-04-30,1552,N,nominal,2.0NRT,287.87,0.52,N
-35.74503,137.35263,299.58,0.39,0.36,2026-04-30,1556,N,nominal,2.0NRT,284.63,0.41,N
-36.74857,140.95766,297.8,0.44,0.38,2026-04-30,1556,N,nominal,2.0NRT,266.75,0.96,N
-23.30346,148.33252,308.7,0.47,0.48,2026-04-30,1552,N,nominal,2.0NRT,287.57,0.69,N
-37.33977,145.55092,300.84,0.48,0.48,2026-04-30,1556,N,nominal,2.0NRT,287.18,0.8,N
-23.59479,151.07846,300.51,0.35,0.57,2026-04-30,1552,N,nominal,2.0NRT,287.67,0.4,N
-37.34477,145.55592,301.53,0.48,0.48,2026-04-30,1556,N,nominal,2.0NRT,287.86,0.92,N
-23.60305,151.10976,302.61,0.36,0.57,2026-04-30,1552,N,nominal,2.0NRT,287.83,0.87,N
