latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-36.96316,143.52431,312.44,1.71,1.28,2026-04-29,0548,A,72,6.1NRT,294.02,17.66,D
-36.55295,146.785,304.78,1.14,1.06,2026-04-29,0548,A,53,6.1NRT,291.02,7.01,D
-36.5436,146.78273,304.09,1.14,1.06,2026-04-29,0548,A,47,6.1NRT,292.59,6.4,D
-36.92237,142.9948,349.15,1.85,1.33,2026-04-29,0548,A,96,6.1NRT,294.21,140.43,D
-36.92424,142.9743,316.58,1.85,1.33,2026-04-29,0548,A,76,6.1NRT,293.96,28.21,D
-37.01014,140.82127,318.85,2.55,1.54,2026-04-29,0548,A,78,6.1NRT,284.87,64.9,D
-36.16295,148.54048,301.41,1.01,1.01,2026-04-29,0548,A,47,6.1NRT,284.98,6.21,D
-36.57231,144.69373,316.94,1.44,1.19,2026-04-29,0548,A,77,6.1NRT,297.29,20.55,D
-36.74612,142.93674,318.05,1.85,1.33,2026-04-29,0548,A,72,6.1NRT,294.21,33.17,D
-36.86636,141.52959,327.58,2.29,1.46,2026-04-29,0548,A,84,6.1NRT,290.15,77.41,D
-36.86837,141.5042,304.29,2.29,1.47,2026-04-29,0548,A,32,6.1NRT,288.91,9.58,D
-36.81596,141.99171,309.76,2.13,1.42,2026-04-29,0548,A,55,6.1NRT,294.79,17.37,D
-36.81792,141.96803,314.91,2.14,1.42,2026-04-29,0548,A,56,6.1NRT,294.6,28.68,D
-36.88345,141.13634,324.37,2.43,1.5,2026-04-29,0548,A,82,6.1NRT,293.26,75.2,D
-36.88548,141.10936,329.94,2.44,1.51,2026-04-29,0548,A,86,6.1NRT,293.52,99.85,D
-36.81882,141.79861,334.67,2.19,1.44,2026-04-29,0548,A,79,6.1NRT,294.05,99.28,D
-36.42398,145.74699,306.75,1.26,1.12,2026-04-29,0548,A,36,6.1NRT,285.98,9.83,D
-36.8877,141.12982,329.78,2.43,1.5,2026-04-29,0548,A,86,6.1NRT,293.7,95.07,D
-36.8899,141.10284,317.93,2.44,1.51,2026-04-29,0548,A,77,6.1NRT,292.92,49.2,D
-36.8189,141.79173,330.6,2.19,1.44,2026-04-29,0548,A,81,6.1NRT,294.35,82.39,D
-36.15158,147.39383,306.99,1.08,1.04,2026-04-29,0548,A,65,6.1NRT,292.49,7.75,D
-36.52281,144.07391,374.51,1.57,1.23,2026-04-29,0548,A,100,6.1NRT,299.73,249.63,D
-36.52453,144.05666,341.34,1.57,1.23,2026-04-29,0548,A,92,6.1NRT,294.64,83.54,D
-36.51996,144.08569,313.24,1.56,1.23,2026-04-29,0548,A,71,6.1NRT,295.82,16.88,D
-36.52178,144.06851,368.48,1.57,1.23,2026-04-29,0548,A,100,6.1NRT,299.8,209.36,D
-36.67808,141.2872,318.74,2.36,1.48,2026-04-29,0548,A,77,6.1NRT,294.38,48.57,D
-36.44686,143.80124,309.17,1.62,1.25,2026-04-29,0548,A,44,6.1NRT,297.05,11.91,D
-36.67896,141.30684,304.37,2.35,1.48,2026-04-29,0548,A,28,6.1NRT,290.26,10.72,D
-36.68112,141.28076,321.16,2.36,1.48,2026-04-29,0548,A,79,6.1NRT,295.18,57.03,D
-35.58289,149.79297,301.59,1.01,1,2026-04-29,0548,A,48,6.1NRT,288.79,5.21,D
-36.08512,145.69707,324.18,1.26,1.11,2026-04-29,0548,A,83,6.1NRT,293.49,30.98,D
-36.08671,145.6833,306.52,1.26,1.12,2026-04-29,0548,A,64,6.1NRT,292.91,10.11,D
-36.09703,145.41393,337.12,1.3,1.13,2026-04-29,0548,A,85,6.1NRT,281.44,56.99,D
-36.09786,145.40755,328.2,1.3,1.13,2026-04-29,0548,A,85,6.1NRT,281.82,39.19,D
-35.77601,147.802,324.4,1.04,1.02,2026-04-29,0548,A,78,6.1NRT,282.31,23.33,D
-35.76858,147.78859,333.09,1.04,1.02,2026-04-29,0548,A,60,6.1NRT,283.33,32.72,D
-35.88367,146.76392,321.78,1.12,1.06,2026-04-29,0548,A,81,6.1NRT,295.34,21.51,D
-35.88522,146.75159,313.64,1.13,1.06,2026-04-29,0548,A,74,6.1NRT,293.88,12.96,D
-36.01383,145.6918,311.61,1.26,1.11,2026-04-29,0548,A,71,6.1NRT,291.56,14.82,D
-36.01543,145.67809,309.51,1.26,1.11,2026-04-29,0548,A,69,6.1NRT,291.93,12.62,D
-35.90343,146.44963,308.04,1.16,1.07,2026-04-29,0548,A,59,6.1NRT,291.49,9.46,D
-35.89395,146.44785,309.81,1.16,1.07,2026-04-29,0548,A,69,6.1NRT,291.27,10.75,D
-36.40662,141.28816,323.63,2.34,1.48,2026-04-29,0548,A,81,6.1NRT,297.89,58.81,D
-36.40528,141.13005,315.22,2.4,1.49,2026-04-29,0548,A,68,6.1NRT,293.6,36.09,D
-36.39491,141.30801,308.36,2.33,1.48,2026-04-29,0548,A,52,6.1NRT,297.04,15.31,D
-36.39703,141.28233,317.54,2.34,1.48,2026-04-29,0548,A,75,6.1NRT,297.79,40.12,D
-35.78739,146.72752,306.04,1.13,1.06,2026-04-29,0548,A,63,6.1NRT,292.19,6.25,D
-35.79291,146.44923,309.8,1.16,1.07,2026-04-29,0548,A,65,6.1NRT,294.44,8.22,D
-35.78721,146.45432,307.78,1.15,1.07,2026-04-29,0548,A,55,6.1NRT,292.88,7.76,D
